Data Set,Tokenization method,Dropout Rate,Normalization Method,MSE,CD,MCC,CCC
jak2_data.csv,Dictionary,0.1,Interquartile Range,0.4142240285873413,0.4938308000564575,0.6243088245391846,0.6774007678031921
jak2_data.csv,Dictionary,0.1,Winsorization,0.785671055316925,0.47044384479522705,0.0,-1.3028852441365757e-09
jak2_data.csv,Dictionary,0.2,none,0.7961515784263611,0.5141026973724365,0.0,1.6713558315117893e-10
jak2_data.csv,Dictionary,0.2,MinMax Scaling,0.02056429348886013,0.4349246025085449,0.41778162121772766,0.5795822143554688
jak2_data.csv,Dictionary,0.2,Robust Scaling,0.943897545337677,0.42393380403518677,0.4399496912956238,0.6021961569786072
jak2_data.csv,Dictionary,0.2,Interquartile Range,0.321270614862442,0.5646975040435791,0.542925238609314,0.7119876742362976
jak2_data.csv,Dictionary,0.2,Winsorization,1.3872030973434448,0.06500065326690674,0.0,3.5556876887277156e-10
jak2_data.csv,Dictionary,0.3,none,0.8890400528907776,0.45741212368011475,0.0,2.8826385722879877e-11
jak2_data.csv,Dictionary,0.3,MinMax Scaling,0.023435158655047417,0.35603755712509155,0.4246738851070404,0.49755847454071045
jak2_data.csv,Dictionary,0.3,Robust Scaling,0.8448696732521057,0.4843710660934448,0.535820722579956,0.6594240665435791
jak2_data.csv,Dictionary,0.3,Interquartile Range,0.44277408719062805,0.42003071308135986,0.52536541223526,0.6028583645820618
jak2_data.csv,Dictionary,0.3,Winsorization,0.7961693406105042,0.4633678197860718,0.0,-9.037945947198978e-10
jak2_data.csv,TfidfVectorizer,0.1,none,1.642011284828186,-0.002131938934326172,0.0,-1.1876862205306357e-14
jak2_data.csv,TfidfVectorizer,0.1,MinMax Scaling,0.03938871994614601,-8.857250213623047e-05,0.0,-1.371635915958791e-09
jak2_data.csv,TfidfVectorizer,0.1,Robust Scaling,1.639427661895752,-0.0005522966384887695,0.0,2.912367916274583e-11
jak2_data.csv,TfidfVectorizer,0.1,Interquartile Range,0.767229437828064,-0.004958391189575195,0.0,0.0
jak2_data.csv,TfidfVectorizer,0.1,Winsorization,1.4864757061004639,-0.0019108057022094727,0.0,-7.0078377271325185e-15
jak2_data.csv,TfidfVectorizer,0.2,none,1.6668760776519775,-0.017307162284851074,0.0,-4.479261420461825e-15
jak2_data.csv,TfidfVectorizer,0.2,MinMax Scaling,0.03639984875917435,-0.0002123117446899414,0.0,7.299522097881095e-10
jak2_data.csv,TfidfVectorizer,0.2,Robust Scaling,1.6395421028137207,-0.0006221532821655273,0.0,0.0
jak2_data.csv,TfidfVectorizer,0.2,Interquartile Range,0.8241716027259827,-7.987022399902344e-06,0.0,1.886404227269267e-11
jak2_data.csv,TfidfVectorizer,0.2,Winsorization,1.4836312532424927,6.318092346191406e-06,0.0,-6.953457364885845e-15
jak2_data.csv,TfidfVectorizer,0.3,none,1.6571953296661377,-0.011398911476135254,0.0,-2.152945993683618e-17
jak2_data.csv,TfidfVectorizer,0.3,MinMax Scaling,0.04297083616256714,-0.0016088485717773438,0.0,6.868640101131973e-10
jak2_data.csv,TfidfVectorizer,0.3,Robust Scaling,1.6385276317596436,-3.0994415283203125e-06,0.0,-4.017710122927731e-11
jak2_data.csv,TfidfVectorizer,0.3,Interquartile Range,0.8247755765914917,-0.0007406473159790039,0.0,-3.3924495157489076e-11
jak2_data.csv,TfidfVectorizer,0.3,Winsorization,1.4841666221618652,-0.00035452842712402344,0.0,-6.829845188211815e-15
